dateTime,temperature,pressure
2019-01-30 06:57:06.781165,21.88,100171.24
2019-01-30 06:57:14.130227,21.90,100171.52
2019-01-30 06:57:21.481256,21.90,100168.87
2019-01-30 06:57:28.832338,21.96,100177.39
2019-01-30 06:57:36.181350,21.95,100174.56
2019-01-30 06:57:43.532529,21.98,100175.34
2019-01-30 06:57:50.884494,22.00,100170.97
2019-01-30 06:57:58.236714,22.02,100169.62
2019-01-30 06:58:05.583689,22.05,100173.05
2019-01-30 06:58:12.933756,22.06,100174.37
2019-01-30 06:58:20.284845,22.10,100171.81
2019-01-30 06:58:27.635879,22.12,100171.42
2019-01-30 06:58:34.988888,22.14,100172.53
2019-01-30 06:58:42.337920,22.17,100171.31
2019-01-30 06:58:49.691002,22.19,100175.94
2019-01-30 06:58:57.042053,22.21,100170.91
2019-01-30 06:59:04.391124,22.22,100167.91
2019-01-30 06:59:11.742165,22.26,100171.95
2019-01-30 06:59:19.094221,22.30,100171.55
2019-01-30 06:59:26.446346,22.31,100170.70
2019-01-30 06:59:33.800478,22.34,100170.30
2019-01-30 06:59:41.149506,22.38,100175.68
2019-01-30 06:59:48.502590,22.41,100171.67
2019-01-30 06:59:55.856659,22.44,100168.95
2019-01-30 07:00:03.208701,22.46,100171.71
2019-01-30 07:00:10.561674,22.49,100172.48
2019-01-30 07:00:17.910785,22.51,100169.13
2019-01-30 07:00:25.260852,22.55,100175.03
2019-01-30 07:00:32.610867,22.58,100170.98
2019-01-30 07:00:39.961912,22.61,100173.91
2019-01-30 07:00:47.312021,22.63,100174.34
2019-01-30 07:00:54.663029,22.66,100170.66
2019-01-30 07:01:02.014129,22.69,100173.25
2019-01-30 07:01:09.366232,22.71,100169.20
2019-01-30 07:01:16.719318,22.73,100168.65
2019-01-30 07:01:24.070376,22.77,100171.56
2019-01-30 07:01:31.421402,22.79,100171.17
2019-01-30 07:01:38.768503,22.82,100170.59
2019-01-30 07:01:46.117497,22.87,100174.48
2019-01-30 07:01:53.468584,22.89,100174.44
2019-01-30 07:02:00.817619,22.91,100172.75
2019-01-30 07:02:08.167694,22.93,100174.34
2019-01-30 07:02:15.517727,22.97,100176.22
2019-01-30 07:02:22.869784,23.00,100174.36
2019-01-30 07:02:30.217826,23.02,100172.30
2019-01-30 07:02:37.572040,23.04,100171.74
2019-01-30 07:02:44.920093,23.06,100172.38
2019-01-30 07:02:52.268223,23.09,100171.80
2019-01-30 07:02:59.618160,23.10,100172.77
2019-01-30 07:03:06.971202,23.14,100173.01
2019-01-30 07:03:14.322280,23.15,100169.66
2019-01-30 07:03:21.672352,23.19,100173.27
2019-01-30 07:03:36.375507,23.22,100169.54
2019-01-30 07:03:43.728560,23.24,100171.30
2019-01-30 07:03:51.075593,23.28,100170.72
2019-01-30 07:03:58.424676,23.30,100165.00
2019-01-30 07:04:05.776825,23.32,100171.59
2019-01-30 07:04:13.130835,23.35,100169.34
2019-01-30 07:04:20.479915,23.38,100171.43
2019-01-30 07:04:27.827951,23.40,100170.73
2019-01-30 07:04:35.176982,23.41,100167.20
2019-01-30 07:04:42.526048,23.42,100168.18
2019-01-30 07:04:49.878066,23.45,100172.09
2019-01-30 07:04:57.229125,23.47,100166.74
2019-01-30 07:05:04.580266,23.51,100170.44
2019-01-30 07:05:11.931241,23.53,100167.09
2019-01-30 07:05:19.284334,23.55,100165.02
2019-01-30 07:05:26.633427,23.57,100169.79
2019-01-30 07:05:33.987411,23.61,100166.03
2019-01-30 07:05:41.334454,23.63,100163.84
2019-01-30 07:07:58.757740,23.75,100167.16
2019-01-30 07:08:06.109784,23.73,100166.86
2019-01-30 07:08:13.461838,23.73,100164.05
2019-01-30 07:08:20.808890,23.73,100163.05
2019-01-30 07:08:28.159945,23.73,100167.86
2019-01-30 07:08:35.507051,23.72,100167.08
2019-01-30 07:08:42.857171,23.72,100165.08
2019-01-30 07:08:50.206242,23.72,100166.08
2019-01-30 07:08:57.559287,23.72,100166.59
2019-01-30 07:09:04.910353,23.71,100162.75
2019-01-30 07:09:12.257395,23.71,100162.77
2019-01-30 07:09:19.608415,23.72,100161.93
2019-01-30 07:09:26.959507,23.72,100165.58
2019-01-30 07:09:34.310719,23.73,100165.38
2019-01-30 07:09:41.661606,23.71,100163.94
2019-01-30 07:09:49.008637,23.72,100165.75
2019-01-30 07:09:56.359660,23.72,100163.42
2019-01-30 07:10:03.710802,23.72,100165.08
2019-01-30 07:10:11.055946,23.72,100163.09
2019-01-30 07:10:18.403994,23.71,100162.44
2019-01-30 07:10:25.757036,23.71,100158.77
2019-01-30 07:10:33.109118,23.73,100162.88
2019-01-30 07:10:40.459206,23.71,100156.61
