dateTime,timestamp,status,latitude,latitudeDirection,longitude,longitudeDirection,speedOverGround,trueCourse,dateStamp,magVariation,magVariationDirection
2019-01-30 06:57:15.519512,06:57:13,A,3259.05996,N,09645.26472,W,0.123,,2019-01-30,,
2019-01-30 06:57:26.521586,06:57:24,A,3259.06014,N,09645.26438,W,0.084,,2019-01-30,,
2019-01-30 06:57:37.518646,06:57:35,A,3259.06053,N,09645.26398,W,0.095,,2019-01-30,,
2019-01-30 06:57:48.517828,06:57:46,A,3259.06074,N,09645.26354,W,0.009,,2019-01-30,,
2019-01-30 06:57:59.518111,06:57:57,A,3259.06109,N,09645.26275,W,0.106,,2019-01-30,,
2019-01-30 06:58:10.516996,06:58:08,A,3259.06103,N,09645.26189,W,0.137,,2019-01-30,,
2019-01-30 06:58:21.514771,06:58:19,A,3259.06097,N,09645.26153,W,0.159,,2019-01-30,,
2019-01-30 06:58:32.512651,06:58:30,A,3259.06106,N,09645.26081,W,0.174,,2019-01-30,,
2019-01-30 06:58:43.515400,06:58:41,A,3259.06139,N,09645.26164,W,0.127,,2019-01-30,,
2019-01-30 06:58:54.515843,06:58:52,A,3259.06135,N,09645.26246,W,0.114,,2019-01-30,,
2019-01-30 06:59:05.517564,06:59:03,A,3259.06225,N,09645.26295,W,0.104,,2019-01-30,,
2019-01-30 06:59:16.514823,06:59:14,A,3259.06285,N,09645.26129,W,0.178,,2019-01-30,,
2019-01-30 06:59:27.511712,06:59:25,A,3259.06301,N,09645.26040,W,0.144,,2019-01-30,,
2019-01-30 06:59:38.514699,06:59:36,A,3259.06195,N,09645.26101,W,0.141,,2019-01-30,,
2019-01-30 06:59:49.516414,06:59:47,A,3259.06112,N,09645.26238,W,0.116,,2019-01-30,,
2019-01-30 07:00:00.518225,06:59:58,A,3259.06036,N,09645.26340,W,0.051,,2019-01-30,,
2019-01-30 07:00:11.516437,07:00:09,A,3259.05959,N,09645.26389,W,0.031,,2019-01-30,,
2019-01-30 07:00:22.514410,07:00:20,A,3259.05925,N,09645.26350,W,0.084,,2019-01-30,,
2019-01-30 07:00:33.513114,07:00:31,A,3259.05893,N,09645.26379,W,0.035,,2019-01-30,,
2019-01-30 07:00:44.513120,07:00:42,A,3259.05877,N,09645.26457,W,0.207,,2019-01-30,,
2019-01-30 07:00:55.510505,07:00:53,A,3259.05882,N,09645.26488,W,0.104,,2019-01-30,,
2019-01-30 07:01:06.514365,07:01:04,A,3259.05853,N,09645.26552,W,0.207,,2019-01-30,,
2019-01-30 07:01:17.516297,07:01:15,A,3259.05839,N,09645.26514,W,0.268,,2019-01-30,,
2019-01-30 07:01:28.518045,07:01:26,A,3259.05807,N,09645.26608,W,0.13,,2019-01-30,,
2019-01-30 07:01:39.517834,07:01:37,A,3259.05776,N,09645.26589,W,0.028,,2019-01-30,,
2019-01-30 07:01:50.518379,07:01:48,A,3259.05684,N,09645.26683,W,0.13,,2019-01-30,,
2019-01-30 07:02:01.518032,07:01:59,A,3259.05618,N,09645.26757,W,0.016,,2019-01-30,,
2019-01-30 07:02:12.516695,07:02:10,A,3259.05592,N,09645.26793,W,0.042,,2019-01-30,,
2019-01-30 07:02:23.517193,07:02:21,A,3259.05565,N,09645.26748,W,0.071,,2019-01-30,,
2019-01-30 07:02:34.517729,07:02:32,A,3259.05510,N,09645.26756,W,0.041,,2019-01-30,,
