dateTime,temperature,humidity
2019-01-30 06:57:04.779786,21.52,36.04
2019-01-30 06:57:12.128747,21.53,35.31
2019-01-30 06:57:19.479803,21.55,35.26
2019-01-30 06:57:26.830827,21.58,35.01
2019-01-30 06:57:34.179903,21.61,34.90
2019-01-30 06:57:41.530909,21.62,34.96
2019-01-30 06:57:48.883000,21.65,35.02
2019-01-30 06:57:56.235018,21.68,34.88
2019-01-30 06:58:03.582089,21.70,34.57
2019-01-30 06:58:10.932185,21.73,34.59
2019-01-30 06:58:18.283209,21.77,34.47
2019-01-30 06:58:25.634233,21.80,34.31
2019-01-30 06:58:32.987295,21.83,34.09
2019-01-30 06:58:40.336356,21.82,33.47
2019-01-30 06:58:47.689394,21.84,34.15
2019-01-30 06:58:55.040644,21.85,35.11
2019-01-30 06:59:02.389643,21.88,34.47
2019-01-30 06:59:09.740750,21.91,34.82
2019-01-30 06:59:17.092800,21.93,34.62
2019-01-30 06:59:24.444764,21.95,34.31
2019-01-30 06:59:31.798838,21.97,34.14
2019-01-30 06:59:39.147989,22.01,33.89
2019-01-30 06:59:46.500951,22.07,33.89
2019-01-30 06:59:53.854994,22.07,34.06
2019-01-30 07:00:01.207060,22.09,33.86
2019-01-30 07:00:08.560163,22.11,33.47
2019-01-30 07:00:15.909151,22.14,33.26
2019-01-30 07:00:23.259345,22.17,33.03
2019-01-30 07:00:30.609399,22.19,32.74
2019-01-30 07:00:37.960461,22.20,32.82
2019-01-30 07:00:45.310520,22.21,33.16
2019-01-30 07:00:52.661564,22.23,33.41
2019-01-30 07:01:00.012659,22.27,33.16
2019-01-30 07:01:07.364700,22.31,32.99
2019-01-30 07:01:14.717682,22.32,32.83
2019-01-30 07:01:22.068762,22.35,32.69
2019-01-30 07:01:29.419827,22.37,32.65
2019-01-30 07:01:36.766861,22.41,32.57
2019-01-30 07:01:44.115940,22.44,32.45
2019-01-30 07:01:51.467080,22.44,31.90
2019-01-30 07:01:58.816176,22.47,31.93
2019-01-30 07:02:06.166191,22.48,32.12
2019-01-30 07:02:13.516383,22.50,32.31
2019-01-30 07:02:20.868303,22.52,32.22
2019-01-30 07:02:28.216340,22.54,31.90
2019-01-30 07:02:35.570409,22.56,31.82
2019-01-30 07:02:42.918458,22.57,31.72
2019-01-30 07:02:50.266539,22.62,31.71
2019-01-30 07:02:57.616604,22.64,31.71
2019-01-30 07:03:04.969615,22.65,31.57
2019-01-30 07:03:12.320723,22.66,31.38
2019-01-30 07:03:19.670729,22.69,31.79
2019-01-30 07:03:34.373972,22.77,31.57
2019-01-30 07:03:41.727022,22.77,31.41
2019-01-30 07:03:49.074024,22.80,31.25
2019-01-30 07:03:56.423130,22.81,31.37
2019-01-30 07:04:03.775177,22.84,31.25
2019-01-30 07:04:11.129244,22.85,31.16
2019-01-30 07:04:18.478245,22.88,31.15
2019-01-30 07:04:25.826298,22.93,31.12
2019-01-30 07:04:33.175372,22.95,30.94
2019-01-30 07:04:40.524467,22.93,30.53
2019-01-30 07:04:47.876515,22.96,30.76
2019-01-30 07:04:55.227640,22.98,30.61
2019-01-30 07:05:02.578723,22.99,30.86
2019-01-30 07:05:09.929769,23.00,30.70
2019-01-30 07:05:17.282792,23.03,30.73
2019-01-30 07:05:24.631681,23.01,30.30
2019-01-30 07:05:31.985728,23.03,30.64
2019-01-30 07:05:39.332795,23.07,30.63
2019-01-30 07:07:56.756148,23.25,29.47
2019-01-30 07:08:04.108308,23.22,29.35
2019-01-30 07:08:11.460345,23.18,29.39
2019-01-30 07:08:18.807414,23.17,29.42
2019-01-30 07:08:26.158466,23.14,29.45
2019-01-30 07:08:33.505500,23.12,29.52
2019-01-30 07:08:40.855562,23.09,29.63
2019-01-30 07:08:48.204606,23.06,29.68
2019-01-30 07:08:55.557659,23.05,29.71
2019-01-30 07:09:02.908730,23.03,29.72
2019-01-30 07:09:10.255775,23.06,29.73
2019-01-30 07:09:17.606849,23.02,29.71
2019-01-30 07:09:24.957998,23.01,29.69
2019-01-30 07:09:32.309059,23.00,29.75
2019-01-30 07:09:39.660104,22.98,29.69
2019-01-30 07:09:47.007181,22.98,29.71
2019-01-30 07:09:54.358234,22.97,29.71
2019-01-30 07:10:01.709307,22.96,29.71
2019-01-30 07:10:09.054347,22.95,29.72
2019-01-30 07:10:16.402385,22.93,29.76
2019-01-30 07:10:23.755434,22.93,29.77
2019-01-30 07:10:31.107495,22.93,29.77
2019-01-30 07:10:38.457521,22.91,29.80
2019-01-30 07:10:45.807569,22.92,29.82
2019-01-30 07:10:53.158806,22.94,29.77
2019-01-30 07:11:00.507817,22.92,29.74
2019-01-30 07:11:07.859867,22.93,29.76
2019-01-30 07:11:15.208918,22.92,29.77
2019-01-30 07:11:22.557965,22.91,29.76
2019-01-30 07:11:29.907981,22.88,29.74
2019-01-30 07:11:37.259100,22.88,29.77
2019-01-30 07:11:44.610144,22.87,29.77
2019-01-30 07:11:51.961148,22.86,29.80
2019-01-30 07:11:59.314241,22.85,29.79
2019-01-30 07:12:06.661271,22.88,29.90
2019-01-30 07:12:14.013405,22.87,29.87
2019-01-30 07:12:21.365525,22.88,29.95
2019-01-30 07:12:28.713567,22.87,29.94
2019-01-30 07:12:36.063595,22.91,29.87
2019-01-30 07:12:43.414708,22.88,29.82
2019-01-30 07:12:50.765717,22.91,29.91
2019-01-30 07:12:58.115748,22.86,29.83
2019-01-30 07:13:05.462826,22.88,29.95
2019-01-30 07:13:12.808847,22.90,29.94
2019-01-30 07:13:20.155907,22.91,29.92
2019-01-30 07:13:27.506983,22.91,29.74
2019-01-30 07:13:34.857993,22.94,29.77
2019-01-30 07:13:42.209218,22.93,29.72
2019-01-30 07:13:49.562239,22.91,29.76
2019-01-30 07:13:56.915259,22.94,29.74
2019-01-30 07:14:04.262371,22.93,29.72
2019-01-30 07:14:11.610470,22.94,29.61
2019-01-30 07:14:18.962523,22.90,29.56
2019-01-30 07:14:26.314528,22.91,29.74
2019-01-30 07:14:33.669565,22.92,29.75
2019-01-30 07:14:41.022624,22.90,29.67
2019-01-30 07:14:48.375666,22.88,29.72
2019-01-30 07:14:55.723793,22.88,29.90
2019-01-30 07:15:03.075899,22.90,29.90
2019-01-30 07:15:10.425947,22.88,29.81
2019-01-30 07:15:17.775044,22.88,29.74
2019-01-30 07:15:25.124094,22.87,29.80
2019-01-30 07:15:32.474056,22.86,29.87
2019-01-30 07:15:39.826199,22.87,30.00
2019-01-30 07:15:47.177209,22.86,29.90
2019-01-30 07:15:54.525269,22.88,29.92
2019-01-30 07:16:01.875364,22.86,29.95
2019-01-30 07:16:09.227351,22.85,30.03
2019-01-30 07:16:16.576557,22.82,30.00
2019-01-30 07:16:23.928621,22.84,30.00
2019-01-30 07:16:31.276647,22.81,30.01
2019-01-30 07:16:38.625698,22.81,30.15
2019-01-30 07:16:45.973761,22.81,30.08
2019-01-30 07:16:53.322834,22.79,30.02
2019-01-30 07:17:00.674940,22.79,30.12
2019-01-30 07:17:08.021924,22.79,30.19
2019-01-30 07:17:15.371963,22.79,30.08
2019-01-30 07:17:22.721033,22.79,30.04
2019-01-30 07:17:30.072218,22.76,30.03
2019-01-30 07:17:37.418286,22.78,30.10
2019-01-30 07:17:44.763294,22.79,30.06
