dateTime,valid,binCount0,binCount1,binCount2,binCount3,binCount4,binCount5,binCount6,binCount7,binCount8,binCount9,binCount10,binCount11,binCount12,binCount13,binCount14,binCount15,binCount16,binCount17,binCount18,binCount19,binCount20,binCount21,binCount22,binCount23,bin1TimeToCross,bin3TimeToCross,bin5TimeToCross,bin7TimeToCross,samplingPeriod,sampleFlowRate,temperature,humidity,pm1,pm2_5,pm10,rejectCountGlitch,rejectCountLongTOF,rejectCountRatio,rejectCountOutOfRange,fanRevCount,laserStatus,checkSum
2019-01-30 06:57:02.682508,1,782,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,39,0,0,366,365,25.924,38.58,2.10,2.27,2.28,142,497,161,10,0,624,26444
2019-01-30 06:57:10.031605,1,258,12,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,50,0,366,376,25.935,38.766,0.79,1.80,7.90,71,89,178,13,0,624,25449
2019-01-30 06:57:17.382836,1,175,6,6,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,46,67,0,366,375,25.94,38.484,0.63,1.59,5.03,79,55,188,15,0,624,26389
2019-01-30 06:57:24.733902,1,185,10,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35,0,0,366,367,25.935,38.006,0.62,0.86,0.89,62,58,176,19,0,624,48321
2019-01-30 06:57:32.082795,1,166,6,8,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,44,0,366,367,25.951,37.788,0.65,1.35,4.49,46,50,191,15,0,624,55482
2019-01-30 06:57:39.434040,1,154,10,5,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,41,47,366,364,25.957,37.808,0.60,2.14,5.13,35,60,153,19,0,625,33140
2019-01-30 06:57:46.786053,1,166,15,6,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,50,0,366,373,25.973,37.934,0.68,1.38,10.98,44,45,178,16,0,624,11033
2019-01-30 06:57:54.138211,1,175,9,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,40,39,0,366,378,25.983,37.856,0.65,1.27,1.72,51,56,196,17,0,624,57799
2019-01-30 06:58:01.485024,1,172,7,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,39,0,366,381,25.989,37.602,0.61,1.03,1.14,47,51,204,12,0,625,5266
2019-01-30 06:58:08.835158,1,163,18,5,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,41,0,366,358,26.004,37.326,0.72,2.23,3.58,50,87,189,14,0,625,7698
2019-01-30 06:58:16.186253,1,154,7,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,47,0,366,359,26.026,37.212,0.61,1.80,2.48,39,79,191,13,0,624,36125
2019-01-30 06:58:23.537365,1,197,9,4,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,44,0,366,357,26.031,37.07,0.75,1.83,8.43,62,126,221,16,0,624,9065
2019-01-30 06:58:30.890632,1,170,8,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40,43,60,366,368,26.036,37.034,0.64,1.75,3.44,23,94,160,12,0,624,20547
2019-01-30 06:58:38.239417,1,266,11,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,367,358,26.063,36.86,0.87,1.02,1.03,80,109,198,19,0,624,41141
2019-01-30 06:58:45.592658,1,196,11,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,33,43,0,366,353,26.073,36.782,0.76,2.16,3.16,46,114,207,20,0,624,31992
2019-01-30 06:58:52.943570,1,154,17,5,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,52,0,367,360,26.084,36.768,0.63,1.86,3.10,32,80,171,16,0,624,4206
2019-01-30 06:59:00.292525,1,208,16,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,366,349,26.1,38.132,0.76,1.40,4.64,56,75,259,27,0,624,22126
2019-01-30 06:59:07.643827,1,197,8,6,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,45,46,70,366,339,26.115,37.938,0.80,2.19,6.99,71,122,252,16,0,624,2899
2019-01-30 06:59:14.995974,1,204,9,3,4,2,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,38,0,61,366,328,26.126,37.458,0.84,2.48,23.21,85,68,254,16,0,624,51248
2019-01-30 06:59:22.347864,1,260,8,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,48,0,366,335,26.147,37.046,0.99,1.64,1.77,115,75,254,16,0,624,46717
2019-01-30 06:59:29.702095,1,292,6,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,37,0,69,366,342,26.152,36.668,0.92,1.47,13.04,129,57,252,20,0,624,19945
2019-01-30 06:59:37.050869,1,221,8,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,0,0,367,334,26.168,36.512,0.73,1.44,2.26,85,82,250,16,0,624,9762
2019-01-30 06:59:44.404364,1,303,8,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37,66,42,366,335,26.184,36.194,1.02,1.79,3.21,102,101,256,10,0,624,53110
2019-01-30 06:59:51.758309,1,372,7,4,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,60,30,367,338,26.196,36.3,1.19,2.25,4.95,152,97,285,20,0,624,45336
2019-01-30 06:59:59.110270,1,239,10,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,33,0,42,367,326,26.212,36.144,0.86,1.33,2.68,105,81,221,23,0,624,8149
2019-01-30 07:00:06.463379,1,314,11,3,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,44,0,366,329,26.222,36.404,1.07,1.92,12.90,109,59,218,19,0,624,13622
2019-01-30 07:00:13.812260,1,267,10,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,0,0,367,332,26.238,36.15,0.89,1.55,8.23,111,65,220,15,0,624,24033
2019-01-30 07:00:21.162371,1,242,10,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,38,0,366,336,26.254,35.754,0.83,1.40,1.60,89,79,184,18,0,624,61410
2019-01-30 07:00:28.512486,1,278,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,37,0,366,344,26.264,35.558,0.85,1.08,1.18,97,110,250,16,0,624,50386
2019-01-30 07:00:35.863507,1,236,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,50,0,366,350,26.264,35.456,0.70,1.32,1.81,102,78,168,27,0,625,39478
2019-01-30 07:00:43.213448,1,294,7,6,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,33,0,366,338,26.286,35.442,1.01,2.04,5.85,124,56,183,16,0,625,59039
2019-01-30 07:00:50.564694,1,236,8,4,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,37,0,366,334,26.301,35.69,0.84,1.95,2.89,106,66,246,16,0,624,45499
2019-01-30 07:00:57.915761,1,260,10,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,44,0,366,344,26.307,35.652,0.82,1.35,1.54,115,102,276,14,0,624,28753
2019-01-30 07:01:05.267945,1,283,8,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,46,0,0,366,346,26.333,35.516,1.08,1.46,1.49,128,68,221,16,0,623,49637
2019-01-30 07:01:12.620991,1,311,15,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40,0,41,366,339,26.333,35.376,1.07,2.00,3.73,159,95,254,18,0,623,39090
2019-01-30 07:01:19.971893,1,266,3,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,39,0,367,340,26.354,35.282,0.88,1.53,11.97,120,92,244,11,0,623,22294
2019-01-30 07:01:27.322899,1,285,8,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,50,36,0,366,341,26.37,35.226,0.95,1.34,1.45,128,83,289,17,0,623,8319
2019-01-30 07:01:34.669790,1,277,5,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,34,0,366,333,26.375,35.208,0.91,1.57,1.79,150,77,261,9,0,624,48247
2019-01-30 07:01:42.018953,1,281,12,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,366,338,26.396,34.974,1.01,1.52,4.83,100,58,245,21,0,624,18523
